titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,first_published,series,genres,url,cover_url,length,rating_range
Risk: Living on the Edge,Michael E. Tennenbaum,5,37,7.7,360,2019,False,"['Nonfiction', 'Business', 'Economics > Finance']",https://www.goodreads.com/book/show/44321487-risk,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552227128l/44321487.jpg,medium,good
In Your Element: How to Build Financial Independence with Real Estate Investing,Cole Worst,1,5,10.0,76,2019,False,Business,https://www.goodreads.com/book/show/50226831-in-your-element,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577825137l/50226831._SY475_.jpg,short,excellent
ENTREPRENEUR MINDSET: Overcome Your Fears and Find Your Freedom,Derek Goneke,10,13,10.0,31,2019,False,Business,https://www.goodreads.com/book/show/49381332-entrepreneur-mindset,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576630864l/49381332._SY475_.jpg,very short,excellent
Brandify You,Rishabh Marathe,0,2,8.0,146,2020,False,Business,https://www.goodreads.com/book/show/51327015-brandify-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581862937l/51327015._SY475_.jpg,short,very good
Got Business Credit,Donnette Dawn Thomas,1,4,10.0,149,2020,False,Business,https://www.goodreads.com/book/show/51477409-got-business-credit,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582119451l/51477409._SX318_.jpg,short,excellent
Culture Is The Bass: 7 Steps to Creating High Performing Teams,Gerald J. Leonard,1,3,8.7,120,2019,False,['Business'],https://www.goodreads.com/book/show/48829540-culture-is-the-bass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573851057l/48829540._SY475_.jpg,short,very good
Accelerated Innovation: How Any Business Can Rapidly Innovate to Create an Unfair Advantage,Paul Prior,1,2,10.0,142,2020,False,Business,https://www.goodreads.com/book/show/51773265-accelerated-innovation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583199385l/51773265.jpg,short,excellent
"PMO Governance: Practical Strategies to Govern Portfolio, Program, and Project Delivery",Eugen Spivak,7,15,9.5,270,2019,False,"['Business', 'Economics']",https://www.goodreads.com/book/show/52521517-pmo-governance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565105184l/52521517._SX318_SY475_.jpg,medium,very good
Radical Relevance: Sharpen Your Marketing Message - Cut Through the Noise - Win More Ideal Clients,Bill Cates,2,19,8.8,239,2019,False,Business,https://www.goodreads.com/book/show/48708265-radical-relevance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572926084l/48708265._SY475_.jpg,medium,very good
Gossip: The Road to Ruin,Amir Fathizadeh,3,8,7.3,118,2019,False,Business,https://www.goodreads.com/book/show/50159037-gossip,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577771402l/50159037.jpg,short,good
What Game Are You Playing?: A Framework for Redefining Success and Achieving What Matters Most,Robin Moriarty,23,103,7.9,184,2019,False,"['Self Help', 'Nonfiction', 'Business']",https://www.goodreads.com/book/show/50006542-what-game-are-you-playing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563832317l/50006542._SX318_SY475_.jpg,short,good
Live Life with No Regrets: How Choices We Make Impact Our Lives,Anne Bachrach,0,5,9.6,240,2012,False,Business,https://www.goodreads.com/book/show/18293360-live-life-with-no-regrets,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381296321l/18293360.jpg,medium,very good
PEAK PERSISTENCE: Why Some Reach Life's Summits While Others Fail,David Snow,1,6,9.3,178,2020,False,Business,https://www.goodreads.com/book/show/53287576-peak-persistence,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588063070l/53287576._SY475_.jpg,short,very good
The Modern Healthcare Professional: 8 hours a week to a more fulfilled and flexible life,Dr Uche Aniagwu,0,4,10.0,68,2020,False,Business,https://www.goodreads.com/book/show/53340393-the-modern-healthcare-professional,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588779237l/53340393._SY475_.jpg,short,excellent
"No Ceiling, No Walls: What women haven't been told about leadership from career-start to the corporate boardroom (ASK Leading Women™ Book 1)",Susan L. Colantuono,5,45,8.3,209,2010,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/18941644-no-ceiling-no-walls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393436685l/18941644.jpg,medium,very good
Let My People Go Surfing: The Education of a Reluctant Businessman,Yvon Chouinard,1243,16247,8.4,272,2005,False,"['Business', 'Nonfiction', 'Biography']",https://www.goodreads.com/book/show/22155.Let_My_People_Go_Surfing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496699608l/22155._SX318_.jpg,medium,very good
Office Optional: How to Build a Connected Culture with Virtual Teams,Larry English,10,48,8.3,198,2020,False,"['Nonfiction', 'Leadership', 'Business']",https://www.goodreads.com/book/show/53418162-office-optional,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589567187l/53418162.jpg,short,very good
AI-Powered Sales Outreach: How to Leverage Artificial Intelligence for Exponential Growth,Sun wu,0,1,10.0,73,2020,False,Business,https://www.goodreads.com/book/show/53449577-ai-powered-sales-outreach,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589981168l/53449577._SX318_.jpg,short,excellent
"Stocks, Bonds & Taxes: A Comprehensive Handbook and Investment Guide for Everybody",Phillip B. Chute,1,4,10.0,569,2020,False,['Business'],https://www.goodreads.com/book/show/53131782-stocks-bonds-taxes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586641216l/53131782._SY475_.jpg,long,excellent
"Own Your Career: Get Unstuck and Into a Role that Serves You - The Complete Guide to Career Development, Job Success, & Professional Fulfillment",Drake Elliott,0,1,10.0,240,2020,False,Business,https://www.goodreads.com/book/show/54453938-own-your-career,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594314077l/54453938._SY475_.jpg,medium,excellent
The Positive Effect: A Retail Leader's Guide to Changing the World,April Sabral,0,2,10.0,240,2020,False,Business,https://www.goodreads.com/book/show/54651622-the-positive-effect,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595537216l/54651622._SY475_.jpg,medium,excellent
Create the Mold: Then Duplicate,Angela K Chambers,0,1,10.0,49,2020,False,Business,https://www.goodreads.com/book/show/55403535-create-the-mold,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600677522l/55403535._SY475_.jpg,very short,excellent
"Young, Broke, and Educated: A Discussion of Millennials, Finance, Economics and Poverty",Alexander Baima,41,44,9.3,240,2020,False,['Nonfiction'],https://www.goodreads.com/book/show/53467336-young-broke-and-educated,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599573054l/53467336.jpg,medium,very good
Success Transformation Accelerator: 21 Day Blueprint,Alok Chandra,6,7,10.0,344,2020,False,Business,https://www.goodreads.com/book/show/55582736-success-transformation-accelerator,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602008216l/55582736._SX318_.jpg,medium,excellent
Limitless Expansion Secrets: LES because we all want to work less,Trey Carmichael,0,4,10.0,240,2020,False,Business,https://www.goodreads.com/book/show/55584512-limitless-expansion-secrets,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602021835l/55584512._SY475_.jpg,medium,excellent
Securing Grant Money:Step-By-Step Guide For First-Time Homebuyers (Real Estate Knowledge Series Book 1),C.R. Wesley,0,4,10.0,47,2019,False,Business,https://www.goodreads.com/book/show/49386701-securing-grant-money,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567269536l/49386701._SX318_SY475_.jpg,very short,excellent
Marketing Ain't Easy: It's Three Simple Steps: A Comprehensive Approach to Engaging Your Ideal Customer Today,Jonathan Austin Rizzo,1,5,10.0,240,2020,False,Business,https://www.goodreads.com/book/show/53090388-marketing-ain-t-easy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586478916l/53090388._SY475_.jpg,medium,excellent
Most Effective Marketing Investments,Cameron Bryant,0,1,10.0,240,2020,False,Business,https://www.goodreads.com/book/show/56229824-most-effective-marketing-investments,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607511269l/56229824._SY475_.jpg,medium,excellent
"Church Shift Revolutionizing Your Faith Church, and Life for the 21st Century",Sunday Adelaja,17,130,8.8,189,2008,False,['Christian'],https://www.goodreads.com/book/show/1444433.Church_Shift_Revolutionizing_Your_Faith_Church_and_Life_for_the_21st_Century,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328747477l/1444433.jpg,short,very good
The Global Supply Chain and Risk Management,Stuart M. Rosenberg,0,0,0.0,88,2018,False,Business,https://www.goodreads.com/book/show/55892199-the-global-supply-chain-and-risk-management,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634631052l/55892199.jpg,short,very bad
Don't Forget to Ask: How to sell your position and negotiate anything with anyone,William Barton,5,11,8.0,240,2021,False,Business,https://www.goodreads.com/book/show/57177260-don-t-forget-to-ask,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614032280l/57177260._SY475_.jpg,medium,very good
How Do You Make Your Parents Rich?: Practical Personal Finance for Kids & Their Families,Diana Polyakov,0,2,10.0,149,2019,False,Business,https://www.goodreads.com/book/show/51106872-how-do-you-make-your-parents-rich,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562533602l/51106872._SX318_SY475_.jpg,short,excellent
Think it. Pitch it. Sell it.: Choose to sell your own vision.,Pierre Coombes,0,5,9.2,240,2021,False,Business,https://www.goodreads.com/book/show/57580082-think-it-pitch-it-sell-it,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617113913l/57580082._SY475_.jpg,medium,very good
Kochland: The Secret History of Koch Industries and Corporate Power in America,Christopher Leonard,263,2065,8.6,240,2019,False,"['Business', 'Nonfiction', 'Politics']",https://www.goodreads.com/book/show/44034135-kochland,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564623983l/44034135._SX318_.jpg,medium,very good
The Content Fuel Framework: How to Generate Unlimited Story Ideas (For Marketers and Creators),Melanie Deziel,19,88,8.8,206,2020,False,"['Writing > Journalism', 'Nonfiction']",https://www.goodreads.com/book/show/51689293-the-content-fuel-framework,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582570629l/51689293._SY475_.jpg,medium,very good
Market Research Like a Pro,Pooja Agnihotri,7,14,9.9,112,2021,False,['Business'],https://www.goodreads.com/book/show/58496023-market-research-like-a-pro,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625550342l/58496023._SX318_.jpg,short,very good
Beat Your Way to the Top: Masturbation as a Technique for Business Success,Stephen Larkin,1,6,7.7,44,2012,False,['Nonfiction'],https://www.goodreads.com/book/show/16186734-beat-your-way-to-the-top,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356201136l/16186734.jpg,very short,good
The Strategy and Tactics of Pricing: A Guide to Growing More Profitably,Thomas T. Nagle,20,458,8.1,349,1986,False,"['Business', 'Nonfiction', 'Economics']",https://www.goodreads.com/book/show/99919.The_Strategy_and_Tactics_of_Pricing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348584673l/99919.jpg,medium,very good
Spiritual Economics: The Principles and Process of True Prosperity,Eric Butterworth,55,532,8.9,218,1983,False,"['Spirituality', 'Currency > Money', 'Self Help']",https://www.goodreads.com/book/show/1140300.Spiritual_Economics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347771747l/1140300.jpg,medium,very good
The Power of an Internal Franchise: How Your Business Will Prosper When Employees Act Like Owners,Martin O'Neill,0,5,7.6,222,2009,False,"['Business', 'Leadership']",https://www.goodreads.com/book/show/9902220-the-power-of-an-internal-franchise,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1294165096l/9902220.jpg,medium,good
How to Be a Woman,Caitlin Moran,8823,108254,7.4,312,2011,False,"['Nonfiction', 'Feminism', 'Autobiography > Memoir']",https://www.goodreads.com/book/show/10600242-how-to-be-a-woman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405909800l/10600242.jpg,medium,good
How to Audit your Intellectual Property (IP) (Cognito Guides),Kathleen Keene,1,1,10.0,240,2012,False,['Business'],https://www.goodreads.com/book/show/16720103-how-to-audit-your-intellectual-property-ip,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355523114l/16720103.jpg,medium,excellent
"Gamestorming: A Playbook for Innovators, Rule-breakers, and Changemakers",Dave Gray,178,6822,7.8,290,2010,False,"['Business', 'Design', 'Nonfiction']",https://www.goodreads.com/book/show/7641219-gamestorming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422961938l/7641219.jpg,medium,good
The Four Disciplines of Execution,Stephen R. Covey,54,651,8.1,4,2004,False,"['Business', 'Leadership', 'Business > Management']",https://www.goodreads.com/book/show/935736.The_Four_Disciplines_of_Execution,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179603837l/935736._SX318_.jpg,very short,very good
The Winning Way: Learnings from sport for managers,Anita Bhogle,111,1378,7.4,196,2011,False,"['Business', 'Nonfiction', 'Sports > Sports']",https://www.goodreads.com/book/show/11452929-the-winning-way,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306297342l/11452929.jpg,short,good
Design For Six Sigma (DFSS),Ade Asefeso,0,4,9.0,72,2012,False,Business,https://www.goodreads.com/book/show/18753873-design-for-six-sigma,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383632294l/18753873.jpg,short,very good
The Power of Positive Thinking,Norman Vincent Peale,1621,95646,8.3,128,1952,False,"['Self Help', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/1134122.The_Power_of_Positive_Thinking,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587724137l/1134122._SY475_.jpg,short,very good
Money Making Marketing: A Travel Agent's Guide to Financial Freedom,Tom Ogg,0,0,0.0,210,2013,False,Business,https://www.goodreads.com/book/show/18733329-money-making-marketing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386588328l/18733329.jpg,medium,very bad
Problem Solver: An Amazing Way to Deal with Problems and Personal Challenges (Best Business Books Book 10),Jonas Stark,0,2,9.0,64,2014,False,Business,https://www.goodreads.com/book/show/22826045-problem-solver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406535407l/22826045.jpg,short,very good
Email Marketing: Effective Email Marketing: The Ultimate Guide to Monetizing Your Email Marketing Strategy (Email Marketing),Sam A. Brown,0,9,7.8,39,2015,False,Business,https://www.goodreads.com/book/show/24954278-email-marketing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424673220l/24954278.jpg,very short,good
Business Sutra: A Very Indian Approach to Management,Devdutt Pattanaik,94,1014,8.1,446,2013,False,"['Business', 'Fantasy > Mythology', 'Business > Management']",https://www.goodreads.com/book/show/17342664-business-sutra,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360398963l/17342664.jpg,long,very good
Unleash The Power of Social Media Marketing: Explosive Proven Strategies to Boost Your Social Media Marketing Campaign,Joe Praveen Sequeira,4,118,9.6,234,2012,False,"['Business', 'Social Science > Social Media']",https://www.goodreads.com/book/show/16185568-unleash-the-power-of-social-media-marketing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355090183l/16185568.jpg,medium,very good
Creating Magic,Lee Cockerell,215,2375,8.5,158,2008,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/7159767-creating-magic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267288794l/7159767.jpg,short,very good
How to Be Profitable and Moral: A Rational Egoist Approach to Business,Jaana Woiceshyn,5,16,7.3,152,2011,False,"['Economics', 'Philosophy']",https://www.goodreads.com/book/show/12548407-how-to-be-profitable-and-moral,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379901140l/12548407.jpg,short,good
Graduating from Google: Leadership Lessons,Linda El Awar,6,12,8.3,116,2016,False,"['Leadership', 'Business']",https://www.goodreads.com/book/show/29344810-graduating-from-google,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456499592l/29344810._SY475_.jpg,short,very good
Bull by the Horns: Fighting to Save Main Street from Wall Street and Wall Street from Itself,Sheila Bair,82,453,7.8,432,2012,False,"['Economics', 'Economics > Finance', 'Nonfiction']",https://www.goodreads.com/book/show/13259882-bull-by-the-horns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440522675l/13259882._SY475_.jpg,long,good
This Changes Everything: Capitalism vs. the Climate,Naomi Klein,2174,23762,8.3,576,2014,False,"['Nonfiction', 'Politics', 'Environment']",https://www.goodreads.com/book/show/23008107-this-changes-everything,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408714222l/23008107.jpg,long,very good
The Employee Experience: A Capstone Guide to Peak Performance,Jane McLeod,0,2,8.0,380,2016,False,['Business'],https://www.goodreads.com/book/show/31154161-the-employee-experience,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470060637l/31154161._SY475_.jpg,medium,very good
The Penny Capitalist,James J. Hester,1,8,8.0,246,1979,False,['Business'],https://www.goodreads.com/book/show/19047192-the-penny-capitalist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385748138l/19047192.jpg,medium,very good
The Power of KM: Harnessing the Extraordinary Value of Knowledge Management,Brent N. Hunter,2,23,7.5,256,2016,False,"['Business', 'Nonfiction', 'Business > Management']",https://www.goodreads.com/book/show/32150502-the-power-of-km,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474578926l/32150502.jpg,medium,good
The Wide Lens,Ron Adner,39,355,8.3,288,2012,False,"['Business', 'Nonfiction', 'Economics']",https://www.goodreads.com/book/show/13558930-the-wide-lens,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335330837l/13558930.jpg,medium,very good
If You Think You Can!: Thirteen Laws That Govern the Performance of High Achievers,T.J. Hoisington,23,140,8.4,147,2005,False,"['Business', 'Self Help > Personal Development', 'Nonfiction']",https://www.goodreads.com/book/show/1078882.If_You_Think_You_Can_,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348838473l/1078882.jpg,short,very good
Unemployable!,David Thomas Roberts,14,31,8.1,194,2015,False,"['Business', 'Self Help']",https://www.goodreads.com/book/show/29088181-unemployable,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455501912l/29088181._SY475_.jpg,short,very good
Ethisch leiderschap en besluitvorming,David M. Messick,0,1,6.0,61,1996,False,Business,https://www.goodreads.com/book/show/27798374-ethisch-leiderschap-en-besluitvorming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447230775l/27798374._SY475_.jpg,short,bad
Strategies For Surviving Bullying at Work,Evelyn M. Field,0,6,8.7,166,2011,False,Business,https://www.goodreads.com/book/show/13218039-strategies-for-surviving-bullying-at-work,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328692304l/13218039.jpg,short,very good
You've Got 8 Seconds: Communication Secrets for a Distracted World,Paul Hellman,75,611,7.6,208,2017,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/32149692-you-ve-got-8-seconds,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482806071l/32149692.jpg,medium,good
Drug of Choice: The Inspiring True Story Of The One-Armed Criminal Who Mastered Love And Made Millions,Mark Van Stratum,21,99,8.3,282,2017,False,['Business'],https://www.goodreads.com/book/show/34450024-drug-of-choice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488479312l/34450024._SY475_.jpg,medium,very good
Presenting Data Effectively: Communicating Your Findings for Maximum Impact,Stephanie D.H. Evergreen,19,103,8.7,200,2013,False,"['Nonfiction', 'Business', 'Design']",https://www.goodreads.com/book/show/18324359-presenting-data-effectively,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389097641l/18324359.jpg,medium,very good
"U.S. Taxes for Worldly Americans: The Traveling Expat's Guide to Living, Working, and Staying Tax Compliant Abroad",Olivier Wagner,18,99,8.7,160,2017,False,"['Travel', 'Nonfiction', 'Economics > Finance']",https://www.goodreads.com/book/show/33858730-u-s-taxes-for-worldly-americans,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484619408l/33858730._SY475_.jpg,short,very good
Company of One: Why Staying Small Is the Next Big Thing for Business,Paul Jarvis,327,3710,7.7,272,2019,False,"['Business', 'Nonfiction', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/37570605-company-of-one,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519976350l/37570605.jpg,medium,good
Business Adventures,John Brooks,780,21403,7.6,408,1969,False,"['Business', 'Nonfiction', 'Economics > Finance']",https://www.goodreads.com/book/show/4191136-business-adventures,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405094011l/4191136.jpg,long,good
The Myth of Easy,Taz Lake,1,4,9.5,36,2018,False,Business,https://www.goodreads.com/book/show/40178257-the-myth-of-easy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526770542l/40178257._SY475_.jpg,very short,very good
The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible,Brian Tracy,289,6308,8.2,240,1988,False,"['Business', 'Psychology', 'Nonfiction']",https://www.goodreads.com/book/show/115625.The_Psychology_of_Selling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380857715l/115625.jpg,medium,very good
Modern Real Estate Investing: The Delaware Statutory Trust,John Harvey,7,11,10.0,330,2018,False,['Economics > Finance'],https://www.goodreads.com/book/show/41073071-modern-real-estate-investing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533753997l/41073071._SY475_.jpg,medium,excellent
"Estimate, Guess, or Promise?",Douglas R Allen,0,2,10.0,150,2018,False,Business,https://www.goodreads.com/book/show/41644856-estimate-guess-or-promise,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536104017l/41644856.jpg,short,excellent
The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,511,7205,8.8,320,2018,False,"['Leadership', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/38714388-the-dichotomy-of-leadership,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523163610l/38714388._SY475_.jpg,medium,very good
"The Calling: 3 Fundamental Shifts to Stay True, Get Paid, and Do Good",Rha Goddess,30,136,7.8,384,2020,False,"['Self Help', 'Nonfiction', 'Self Help > Personal Development']",https://www.goodreads.com/book/show/45046800-the-calling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572995269l/45046800.jpg,medium,good
Blockchain Bubble or Revolution: The Present and Future of Blockchain and Cryptocurrencies,Neel Mehta,178,904,8.8,244,2019,False,"['Economics > Finance', 'Nonfiction', 'Business']",https://www.goodreads.com/book/show/50746552-blockchain-bubble-or-revolution,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561874085l/50746552._SX318_SY475_.jpg,medium,very good
10-Minute Focus: 25 Habits for Mastering Your Concentration and Eliminating Distractions,Daniel Walter,9,141,7.7,152,2018,False,"['Self Help', 'Nonfiction', 'Productivity']",https://www.goodreads.com/book/show/42616640-10-minute-focus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541213327l/42616640._SY475_.jpg,short,good
The 5 AM Club: Own Your Morning. Elevate Your Life,Robin S. Sharma,3905,38956,7.6,336,2018,False,"['Self Help', 'Nonfiction', 'Self Help > Personal Development']",https://www.goodreads.com/book/show/37502596-the-5-am-club,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545910967l/37502596._SY475_.jpg,medium,good
"Limitless Mind: Learn, Lead, and Live Without Barriers",Jo Boaler,182,1440,8.3,240,2019,False,"['Education', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/42940498-limitless-mind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562884180l/42940498._SY475_.jpg,medium,very good
Basic Land Investing: The quick start guide to active land investing,James Ashley,1,2,7.0,24,2019,False,Business,https://www.goodreads.com/book/show/49433689-basic-land-investing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569404981l/49433689._SX318_SY475_.jpg,very short,good
The DAO of Capital: Austrian Investing in a Distorted World,Mark Spitznagel,97,906,7.8,368,2013,False,"['Economics', 'Economics > Finance', 'Business']",https://www.goodreads.com/book/show/16599562-the-dao-of-capital,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375674208l/16599562.jpg,medium,good
Digital Marketing: Acting As a Change Catalyst for Today’s Common Man!,Ajanta Behera,0,3,8.7,39,2019,False,Business,https://www.goodreads.com/book/show/48571446-digital-marketing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571936835l/48571446._SY475_.jpg,very short,very good
"Creative Freelance Mastery: High income strategy, from your backyard!",Jonathan Northcott,0,1,10.0,38,2019,False,Business,https://www.goodreads.com/book/show/49082442-creative-freelance-mastery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575367117l/49082442._SX318_.jpg,very short,excellent
How to Restaurant,V.F.R.,0,1,10.0,174,2019,False,Business,https://www.goodreads.com/book/show/49092926-how-to-restaurant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575475191l/49092926._SY475_.jpg,short,excellent
Get That Job! (Tips to Starting College #1),Christine Reidhead,19,40,8.4,35,2019,False,Business,https://www.goodreads.com/book/show/49179057-get-that-job,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575901627l/49179057._SY475_.jpg,very short,very good
Win Work Politics as a Leader: A Strategy Guide,Marc White,0,1,10.0,139,2020,False,Business,https://www.goodreads.com/book/show/50701624-win-work-politics-as-a-leader,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580205656l/50701624._SY475_.jpg,short,excellent
From the Battlefield to the White House to the Boardroom: Leading Organizations to Values-Based Results,Robert (Bo) Brabo,1,5,9.2,132,2020,False,Business,https://www.goodreads.com/book/show/51484111-from-the-battlefield-to-the-white-house-to-the-boardroom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582192387l/51484111._SY475_.jpg,short,very good
How to be a Success Champion: Business Strategy for Badasses,Donnie Boivin,1,3,10.0,153,2020,False,Business,https://www.goodreads.com/book/show/52042228-how-to-be-a-success-champion,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583233761l/52042228._SX318_.jpg,short,excellent
Fully Staffed: The Definitive Guide to Finding Keeping Great Employees,Eric Chester,0,8,9.0,304,2020,False,Business,https://www.goodreads.com/book/show/50727467-fully-staffed,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585883277l/50727467.jpg,medium,very good
ABC Crypto Currency: The beginners guide to Crypto Currency use and investment,DRG Research,0,1,10.0,138,2020,False,Business,https://www.goodreads.com/book/show/53215035-abc-crypto-currency,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587373123l/53215035._SY475_.jpg,short,excellent
Make the Most of Mentoring: Capitalize on Mentoring and Take Your Career to the Next Level,Susan Lee Colantuono,1,15,7.6,104,2012,False,Business,https://www.goodreads.com/book/show/15865553-make-the-most-of-mentoring,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394082094l/15865553.jpg,short,good
Colored Money: The Blueprint to Financial Freedom,Clydell White Jr,1,3,10.0,104,2020,False,Business,https://www.goodreads.com/book/show/53365823-colored-money,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589283140l/53365823.jpg,short,excellent
